City,State,population,Poverty,Diversity,Employment,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Mean,Income,Stdev,Income
Corunna,MI,274868,57.199999999999996,5786.2300000000005,1806285.3599999999,353,511,1186,1064,1132,776,797,640,519,574,45,422,1220,892,1225,1101,805,156,565,156
Cosby,TN,263428,164.20000000000002,5683.464999999999,3580750.8,1350,87,893,1076,1202,375,976,718,358,1023,685,1056,156,1197,256,1111,217,355,1367,355
Coshocton,OH,814968,64.5,5863.599999999999,947326.5599999999,20,1362,430,1195,662,849,1232,427,1345,245,1302,519,306,337,318,1114,1274,48,231,48
Cotopaxi,CO,71632,76.19999999999999,5041.49,850527.0399999999,1106,1323,1057,540,316,499,515,541,687,1001,771,959,575,1002,479,1119,161,748,330,748
Cotter,AR,53988,67.3,5818.08,926221.12,45,1216,475,810,682,0,1250,1115,375,975,99,1274,1127,899,433,1121,669,79,812,79
Cotulla,TX,217404,73.6,2478.44,140583.12,1313,27,1158,1341,1143,470,702,711,677,1358,793,292,714,1269,866,1125,769,659,412,659
Coulee City,WA,49368,62.599999999999994,4568.64,1096722.0,699,1276,143,1073,649,1008,1356,383,625,297,810,1290,328,862,1199,1128,1049,631,439,631
Council,ID,83028,44.9,5726.25,90062.16,851,1165,1074,997,779,1319,426,770,531,663,125,1288,1289,730,839,1129,1364,1252,874,1252
Coupeville,WA,281776,37.4,5090.750000000001,1917072.8,316,686,1268,1323,529,887,1228,566,548,199,591,457,1099,694,210,1135,607,1175,888,1175
Covington,GA,3757072,64.9,3124.9400000000005,2272778.2399999998,144,643,568,889,1255,346,708,508,550,644,835,1347,511,472,562,1140,814,724,292,724
Covington,LA,2063072,41.8,5080.050000000001,6744416.319999999,988,666,793,760,397,19,937,1212,576,642,1206,427,825,329,199,1142,977,386,737,386
Covington,VA,617232,144.7,5488.920000000001,259515.68,946,732,1041,1219,743,1259,73,601,595,299,896,739,1027,877,602,1144,1324,504,201,504
Coxsackie,NY,307472,47.9,5405.39,1200001.52,926,188,1183,637,759,226,1341,466,1324,1203,219,514,1034,1284,824,1145,530,1274,503,1274
Crane,TX,181280,45.7,3321.23,120587.84,910,339,1340,306,885,828,297,465,600,603,1024,1258,739,477,25,1161,924,523,124,523
Crenshaw,MS,83204,161.1,2672.31,142290.96,1345,896,156,186,1118,596,765,633,1330,1335,1085,629,176,1334,854,1163,118,864,744,864
Crestline,OH,306240,67.8,5855.24,1103351.1199999999,784,927,249,1011,907,965,180,396,1289,630,1104,1313,142,932,863,1166,709,520,1002,520
Creston,IA,408232,53.0,5818.9400000000005,388419.68,381,1130,480,835,802,1301,1169,671,417,100,1049,447,992,1117,653,1171,958,125,28,125
Crossville,AL,360096,69.1,5188.890000000001,1689204.24,916,845,1015,74,1155,824,1299,603,789,615,271,657,17,541,894,1172,1169,569,318,569
Crowley,TX,972884,47.5,4920.499999999999,4192446.16,324,785,1327,200,878,539,1172,389,1277,1348,812,1250,422,1016,277,1235,204,1213,1198,1213
Crown Point,IN,2615844,76.69999999999999,3983.2200000000003,12915729.999999998,1055,449,1149,254,1234,404,46,784,273,1353,692,425,1108,1156,902,1236,992,901,609,901
Crystal Springs,MS,520080,109.4,3474.5899999999997,625584.56,228,1227,851,1204,836,799,126,516,274,524,479,871,467,717,1209,1240,803,737,277,737
Cuba,IL,98956,51.0,5686.1,946661.68,1179,691,1156,981,1040,714,682,771,883,1060,1146,863,693,349,34,1241,721,635,308,635
Cullman,AL,1815088,68.5,5685.67,1963031.7599999998,769,678,1133,673,938,725,1271,714,887,837,1043,611,324,188,636,1308,15,423,445,423
Cumberland,KY,181940,115.2,5818.76,498275.3599999999,541,7,929,1220,253,923,169,1175,1222,236,1279,290,708,305,929,1311,1080,640,198,640
Cushing,OK,505208,56.900000000000006,5146.48,889478.32,723,1261,1049,1316,723,422,218,853,248,903,648,1241,885,977,353,1314,436,360,71,360
Cuyahoga Falls,OH,2044900,58.2,5002.34,15712022.079999998,211,1071,1317,38,724,643,964,920,920,1246,787,1011,1021,174,732,1321,995,605,603,605
Dahlonega,GA,1101144,46.599999999999994,5719.2,595382.7999999999,956,984,504,712,287,907,314,273,968,426,1287,28,542,159,499,1322,758,1345,559,1345
Dailey,WV,7568,60.0,5871.420000000001,719709.04,31,419,134,240,153,901,489,1337,1245,1230,772,1236,700,223,717,1323,545,666,594,666
Daleville,AL,395296,141.4,4649.235000000001,2411243.2,1318,956,1154,391,901,327,216,1328,1170,793,380,505,642,362,90,1325,117,1216,1042,1216
Dalhart,TX,465784,93.0,4220.245000000001,345098.64,670,1372,349,461,725,1170,843,897,304,791,445,884,1082,251,964,1326,921,188,899,188
Danville,VA,2585132,95.7,3449.88,1014763.44,633,1034,1030,1349,457,1111,785,1339,881,775,975,1110,16,852,963,1329,1120,344,1162,344
Davidson,NC,636064,56.2,4963.38,4625987.36,616,478,350,1333,827,1364,1323,1312,1260,786,438,1033,1059,398,612,1336,348,340,820,340
Dawson Springs,KY,291280,155.5,5575.760000000001,1507470.88,162,40,754,1366,375,742,25,1081,803,115,672,306,126,40,1054,1339,333,828,995,828
Dawsonville,GA,1165956,136.2,5194.23,6289908.64,600,10,450,602,23,672,66,1049,315,1248,17,115,161,127,190,1342,665,669,43,669
Dayton,OH,20666184,127.8,4985.665,19016839.2,1132,971,390,900,1257,661,18,1322,86,419,1033,216,840,948,494,1348,395,321,138,321
Dayton,TN,825924,99.1,5648.400000000001,760191.9199999999,991,1262,90,103,217,949,963,35,320,798,1367,848,595,34,469,1350,1307,14,1037,14
Decatur,AL,2812964,64.7,4964.74,3129885.6799999997,543,469,160,376,323,834,242,280,990,803,898,892,1193,405,32,1356,35,1372,1263,1372
Decorah,IA,589380,67.4,5759.905000000001,1163700.0,905,393,1266,902,606,517,1240,99,199,1250,212,906,955,1124,96,1358,1199,1021,839,1021
Dedham,MA,1044736,20.0,4940.919999999999,21783876.88,1024,526,1270,5,1038,941,398,98,175,562,239,361,231,1318,559,1366,910,456,311,456
Defuniak Springs,FL,981816,75.30000000000001,5294.38,1543231.2799999998,864,150,154,985,805,716,188,1028,1130,6,196,757,432,926,591,1367,973,13,505,13
Delta,OH,346192,40.2,5602.18,1269280.2399999998,619,780,1178,444,1125,1156,1097,1007,796,11,1032,820,125,41,56,1371,688,200,986,200
Deltona,FL,3841552,71.4,4850.630000000001,12117006.32,780,255,1011,945,276,1077,1058,1285,1339,19,839,1000,890,822,613,1306,754,1114,1124,1114
Deming,NM,1001528,107.6,3202.6100000000006,510227.36,1241,550,524,926,278,78,584,213,1127,597,884,480,1170,1223,1235,1099,1227,427,1353,427
Denmark,SC,254540,113.0,3012.6600000000003,336468.88,382,981,788,812,453,432,1259,1051,633,604,881,431,1131,1215,111,1304,315,935,900,935
Denver,CO,42918304,69.5,3936.9300000000007,21181872.56,749,488,191,1206,138,542,711,962,1126,612,561,602,881,969,1097,1299,181,1159,76,1159
Denver City,TX,285076,74.7,3777.92,694445.5199999999,640,489,509,1124,1251,885,846,296,1063,1351,877,268,279,797,546,1243,701,211,206,211
Derry,NH,1447864,20.1,5732.4800000000005,10114542.719999999,726,661,1294,40,235,908,184,115,155,1336,566,1190,455,226,810,1244,211,51,766,51
Detroit,MI,29150132,98.8,3662.4100000000003,42372104.08,834,407,147,1082,1146,92,542,118,1079,1333,572,964,1116,609,1367,1251,365,926,796,926
Dexter,MO,561484,53.900000000000006,5855.31,750263.9199999999,478,410,385,513,821,1044,377,1307,638,44,578,261,1219,313,253,1254,190,895,395,895
Dickinson,ND,895180,16.5,5577.19,976679.36,357,930,259,1188,799,86,546,1071,1326,648,762,68,394,597,1351,1258,311,850,569,850
Dilley,TX,208472,81.1,2529.67,402578.24,1131,995,940,308,447,79,877,943,1367,757,406,489,1066,994,239,1262,917,694,669,694
Dingmans Ferry,PA,338316,39.1,5221.2699999999995,1479110.72,898,1303,1150,1166,462,1021,345,1330,637,658,15,404,198,755,947,1263,1323,690,958,690
Dinwiddie,VA,150964,53.0,4287.37,769682.6399999999,717,536,1213,1159,82,808,523,140,931,1302,711,1026,811,74,13,1264,603,768,261,768
Disputanta,VA,301004,77.9,3142.88,155371.28,1225,915,1124,294,1264,1349,483,870,222,485,914,645,401,1135,728,1267,775,742,530,742
Donaldsonville,LA,472560,43.0,4619.9400000000005,3367354.88,596,989,47,610,752,1139,1270,952,952,689,462,1328,19,962,1155,1269,1102,623,901,623
Dorado,PR,1659944,257.0,1891.5900000000001,2555591.6799999997,1238,468,1069,119,657,712,267,206,989,1286,426,338,656,895,706,1270,676,218,381,218
Dothan,AL,3479256,134.9,4541.9,3100774.0799999996,1183,959,142,22,554,576,1237,205,591,68,959,1222,11,515,446,1273,461,1312,4,1312
Douglas,GA,1249468,96.7,4176.78,934091.7599999999,893,746,128,122,237,541,926,1303,512,1283,492,297,297,888,1279,1276,108,1071,200,1071
Douglasville,GA,4598308,60.4,3506.5800000000004,3760526.8,593,1373,813,161,1275,336,270,204,215,706,431,726,457,351,662,1277,51,633,1259,633
Dover,DE,2988920,52.9,4307.200000000001,4575286.08,779,329,1232,1008,1015,522,285,14,465,707,946,530,1299,1075,363,1278,716,1006,423,1006
Dow City,IA,40260,81.6,4703.360000000001,498261.75999999995,198,205,501,249,627,1042,496,1040,189,464,547,1373,396,729,159,1283,293,1269,633,1269
Doyle,TN,58124,70.0,5756.18,594366.7999999999,1290,258,35,1345,360,749,970,1300,980,77,543,161,691,1201,1022,1285,76,973,761,973
Drummond,WI,17776,50.800000000000004,5226.26,417309.43999999994,1348,80,403,1002,758,836,239,248,197,721,906,446,262,1212,432,1288,569,1243,319,1243
Dudley,GA,61512,105.3,4134.91,1029359.5199999999,340,264,843,875,774,1258,587,250,1163,79,421,1209,669,1051,1301,1295,149,204,181,204
Duluth,MN,5009796,53.2,5611.39,5879630.48,799,41,438,1283,234,378,597,253,1154,47,767,360,568,310,553,1300,816,716,602,716
Dunellen,NJ,616836,31.8,3416.5500000000006,24488466.799999997,558,603,1305,842,416,1131,1190,144,602,813,474,967,1365,1069,12,816,406,711,333,711
Dupree,SD,45232,133.9,1604.6000000000001,58712.479999999996,642,1060,742,543,677,777,264,893,1338,973,1373,568,922,281,493,1084,1270,646,634,646
Durango,CO,1562484,50.3,5007.02,21030.559999999998,745,615,394,1217,981,1088,96,1297,419,880,1200,1055,1191,94,58,1080,874,472,969,472
Durant,MS,156728,165.2,2102.53,323053.44,1090,495,1333,701,1227,42,1336,93,150,379,1164,136,918,633,550,882,1069,524,862,524
Durham,NC,11140228,69.4,3323.83,8824474.56,552,939,11,838,853,720,450,900,306,157,200,540,581,688,488,891,1009,336,1299,336
Dutch John,UT,11704,14.0,5843.27,13666.159999999998,1287,707,972,820,1031,573,908,1008,373,957,96,539,1211,1302,53,894,278,713,62,713
Eagle Pass,TX,2310352,96.5,1954.52,1235300.72,1089,636,1231,684,1321,1057,1194,325,689,309,1212,1021,112,574,524,896,1116,1302,800,1302
Eagle River,WI,321332,38.8,5820.02,1006912.5599999999,412,475,671,1026,715,988,206,326,1313,290,167,367,1287,1017,570,902,488,507,204,507
Earle,AR,137896,168.4,4108.745,1671265.9999999998,142,766,70,1100,1198,491,1192,329,831,298,23,407,29,552,5,904,20,803,948,803
East Peoria,IL,1083676,31.9,5776.8,3945102.0,1244,706,216,1373,1285,319,326,92,786,1075,231,82,105,1134,518,493,918,805,480,805
Eastsound,WA,157168,50.800000000000004,5534.78,464317.68,5,1002,222,352,1119,397,619,812,768,1189,161,64,573,722,465,911,1331,172,205,172
Eatonton,GA,868912,61.8,4438.079999999999,574685.36,1282,127,1312,329,1344,212,335,811,62,286,1220,1350,430,1267,780,881,45,436,1322,436
Eau Claire,WI,3497516,33.3,5759.31,1890167.92,835,368,792,164,575,1246,762,798,1229,285,358,536,1305,1206,195,912,152,709,964,709
Edgartown,MA,176264,51.5,5643.36,538223.0399999999,423,717,519,274,741,1245,39,169,325,275,70,57,274,930,1070,924,1320,132,1294,132
Edison,OH,69124,46.099999999999994,5865.91,978911.2,48,878,478,893,760,770,1073,324,1316,138,86,836,365,1342,726,928,778,616,1100,616
Egegik,AK,4796,63.8,1426.9700000000003,40329.76,47,884,729,342,700,656,925,343,733,857,368,1327,1303,387,998,929,1336,1296,686,1296
El Cerrito,CA,1012660,38.9,3453.12,31003480.96,464,266,1091,107,1135,1004,1328,916,734,980,1258,1257,488,1183,976,931,606,111,1199,111
El Paso,TX,32194360,254.1,2498.665,19996760.72,1094,1260,469,962,120,270,1243,347,396,281,134,592,150,334,682,932,1047,47,567,47
El Reno,OK,805904,25.5,4925.28,3832096.4,1136,358,1245,613,212,388,873,178,647,140,1251,271,56,1094,1084,936,1066,1320,329,1320
Eldorado,OK,27456,65.9,4273.519999999999,69592.23999999999,422,47,873,919,1323,809,1016,48,355,368,373,810,782,749,145,937,1237,496,354,496
Electra,TX,150084,34.1,5543.8099999999995,257848.8,1042,118,1298,217,731,1074,1066,177,185,214,8,706,1321,465,140,938,68,921,628,921
Elgin,IL,4272092,46.6,4197.1,15536521.92,672,184,1046,91,387,512,854,351,822,146,1141,537,357,149,797,915,85,1318,409,1318
Elizabeth City,NC,1758328,114.1,4515.470000000001,1308082.0799999998,659,1357,373,504,151,662,441,45,36,1122,932,851,242,57,873,879,850,1147,1314,1147
Elkhart,IN,4216256,63.5,4967.12,5538258.08,615,1092,1171,509,1050,921,174,800,1134,164,549,119,171,158,1197,875,1216,556,474,556
Elkton,OR,35640,79.3,5487.94,2405908.64,1221,1179,31,1342,1034,187,504,344,706,296,1148,1025,6,486,262,873,17,1321,488,1321
Ellenboro,NC,346676,81.1,4799.25,2467210.7199999997,1168,216,412,1193,180,1211,474,1358,1094,994,770,922,294,68,91,820,1372,1359,816,1359
Ellenboro,WV,42240,79.8,5860.280000000001,177553.44,252,879,68,685,945,860,602,990,312,292,281,1188,1300,985,823,823,1127,1056,506,1056
Ellsinore,MO,127292,76.7,5776.740000000001,146421.84,999,97,217,82,810,651,821,77,756,1022,82,1195,1106,855,1033,828,1272,128,534,128
Ellwood City,PA,732204,63.8,5667.65,2392146.4,325,1218,939,550,50,1221,953,300,1340,1015,276,1221,1229,1180,104,832,1230,174,290,174
Elm City,NC,353232,99.69999999999999,3627.7400000000002,2110216.7199999997,869,1057,560,16,1095,1207,526,30,988,937,513,753,452,67,1281,835,1182,348,1220,348
Elmira,NY,2129160,60.2,5387.360000000001,2323926.88,1133,1195,804,364,295,1195,1045,615,690,822,680,1155,953,1000,389,838,296,101,327,101
Ely,NV,329032,47.7,4825.01,214978.71999999997,201,1115,91,729,572,1056,440,1345,173,251,678,1319,716,1092,192,839,424,213,604,213
Emmetsburg,IA,191224,44.3,5844.21,282043.27999999997,1336,1138,442,273,721,758,955,830,201,1102,1130,1119,973,608,22,840,657,1100,1243,1100
Emporia,VA,732380,140.1,3175.520000000001,126847.92,333,1024,1159,460,964,313,1294,85,737,827,655,653,850,614,506,841,52,752,627,752
Encampment,WY,37840,54.099999999999994,5093.6900000000005,477509.36,356,451,630,71,52,311,1249,980,694,392,81,564,1256,622,1248,846,238,771,640,771
Englewood,CO,3438248,12.4,5278.099999999999,9722749.52,976,215,1192,1302,7,8,938,315,1054,232,71,60,38,1035,309,850,143,222,1108,222
Englishtown,NJ,1828772,27.3,4911.14,18677036.08,210,252,230,133,19,1157,427,1365,198,1207,357,547,616,1240,251,852,623,195,1272,195
Ennice,NC,71896,70.8,5493.22,265803.6,820,1346,894,827,528,1347,327,81,780,355,213,440,392,384,473,854,900,147,362,147
Enterprise,OR,132968,60.900000000000006,5727.630000000001,176570.8,1229,138,1106,946,1288,1097,412,822,527,1120,615,694,248,61,705,858,555,330,390,330
Erick,OK,66000,37.6,4949.380000000001,584462.48,486,342,633,942,735,1253,108,79,1005,132,608,1106,449,414,1041,860,683,1045,348,1045
Erie,KS,95304,78.0,5602.070000000001,475397.04,1263,1248,421,492,1097,920,250,1061,125,228,808,896,439,382,348,861,1162,602,359,602
Ethan,SD,38720,32.2,5692.85,101761.51999999999,231,448,1293,735,816,1017,192,905,575,260,1248,1296,1072,296,69,863,138,943,925,943
Ettrick,WI,78804,42.7,5682.969999999999,922233.9199999999,1113,752,418,84,1103,1330,374,318,1019,997,626,117,605,175,71,865,1000,642,1001,642
Eudora,AR,139920,198.0,3887.3849999999998,706740.5599999999,568,949,588,1165,199,359,410,955,1023,996,628,1263,828,707,88,870,466,653,1336,653
Eufaula,OK,418044,79.7,4270.3899999999985,422618.55999999994,1269,1140,866,1191,542,753,1196,1116,1024,382,117,532,1272,662,616,942,124,1058,1,1058
Eupora,MS,259380,82.7,5002.55,215914.24,537,546,681,409,205,704,227,736,546,326,526,819,1109,549,622,944,367,85,358,85
Eutaw,AL,217096,174.2,2172.98,147449.28,964,235,1028,1025,858,514,1120,362,1043,280,1261,1364,1349,215,1078,946,842,1112,721,1112
Evansville,IN,7866452,65.80000000000001,5298.54,5233724.64,156,1064,410,531,653,1014,1098,236,1219,145,850,591,225,698,1072,953,456,374,623,374
Evant,TX,45892,53.400000000000006,4168.81,1379559.5999999999,9,965,587,126,311,44,279,1045,104,367,865,418,572,147,525,1013,236,1289,910,1289
Everson,WA,394724,49.6,5064.330000000001,5974833.44,509,1202,71,995,269,1350,487,148,421,1141,645,56,1245,423,426,1016,91,788,813,788
Fairbanks,AK,2795892,27.9,4571.910000000001,2837298.48,1357,617,537,572,1182,1162,1207,923,105,1224,177,823,888,593,827,1022,39,380,1147,380
Fairfax,VA,6603432,14.8,4081.28,773830.88,129,902,436,763,583,969,612,1217,884,303,690,1077,1026,391,40,1023,357,31,775,31
Fairfield,IL,378224,62.5,5884.76,457606.16,1324,841,1230,651,664,1297,244,1216,841,646,886,100,7,976,170,1026,320,1164,435,1164
Fairfield,MT,78540,43.5,5753.840000000001,165575.92,783,688,659,425,734,248,364,930,28,1325,1166,1272,629,1125,434,1033,110,82,756,82
Fairfield,NE,25036,34.1,5585.93,192906.56,1053,1354,282,68,651,197,1111,921,424,959,1263,1367,500,450,667,1034,1224,820,601,820
Fairmont,WV,1774476,66.0,5715.379999999999,1545849.68,223,240,339,487,644,421,620,167,100,508,970,47,528,626,1050,1039,1002,233,860,233
Fairplay,CO,106084,23.5,5591.26,536597.12,1017,179,223,426,829,797,959,1329,240,1316,619,603,375,418,1276,1043,559,422,137,422
Fairview,OK,142912,50.7,5378.67,214106.08,149,540,1336,776,730,227,1225,504,239,1315,1035,21,135,1314,1013,1046,188,1156,233,1156
Faith,SD,41404,39.8,5826.77,90768.4,819,943,24,130,671,158,351,142,12,503,979,232,1041,222,799,1047,793,990,664,990
Falfurrias,TX,306152,155.2,2040.26,147668.96,83,690,42,567,133,1022,627,1361,607,1094,416,1120,268,1111,549,1057,649,1076,1065,1076
Fallon,NV,1073160,57.5,4812.990000000001,564325.6799999999,355,3,1220,633,74,1235,416,354,603,499,446,632,1355,390,830,1060,28,1301,1268,1301
Falls Church,VA,5028364,8.3,4674.41,446862.24,1307,16,309,787,291,864,3,946,1322,496,1087,1337,897,1031,1057,1062,321,1367,873,1367
Faribault,MN,1282380,43.4,5324.11,2037201.92,897,532,869,120,57,116,1093,977,230,304,1100,1252,533,1239,760,1064,1238,1338,543,1338
Farmersville,IL,41844,54.2,5489.59,584134.88,1044,1278,713,562,1331,213,185,87,296,308,5,452,50,72,713,1069,732,1026,636,1026
Farmington,NM,2503424,72.1,2904.07,3135269.44,373,68,957,1179,1340,1326,1316,666,1234,124,334,858,659,898,735,1076,374,874,1339,874
Federalsburg,MD,274956,139.1,4680.0,1864880.64,264,226,782,396,24,105,547,982,103,1074,54,822,318,434,504,1077,249,230,1117,230
Ferdinand,IN,196900,41.8,5841.290000000001,611867.52,742,247,92,297,889,254,1162,569,1251,1371,496,634,1166,875,1267,1078,445,862,442,862
Fernandina Beach,FL,1335752,51.1,5444.230000000001,1921968.16,49,1245,1175,968,1185,1341,337,985,259,4,124,621,1281,769,981,1011,195,260,945,260
Fernley,NV,857560,60.5,4958.03,1213979.52,884,30,177,192,891,1036,543,69,278,235,954,348,807,921,1373,1083,983,1079,441,1079
Ferriday,LA,425128,118.1,4027.890000000001,430801.04,495,244,17,348,277,55,695,975,933,1003,634,617,1006,1310,177,1009,540,1357,697,1357
Fertile,MN,82324,47.9,5521.46,971642.7199999999,840,168,431,1139,654,757,685,1187,1349,552,115,990,1145,511,260,998,741,35,220,35
Festus,MO,1141888,56.5,5821.88,505642.07999999996,470,859,159,532,85,744,810,1353,1080,992,1297,239,712,677,429,956,1170,498,250,498
Firebaugh,CA,418880,103.2,2965.6200000000003,22774008.64,1076,275,727,374,1005,748,349,64,651,1043,870,1083,847,197,21,958,601,609,48,609
Flandreau,SD,146520,54.7,4884.099999999999,205682.31999999998,432,1125,1029,811,1299,289,1359,995,1105,13,938,1082,1081,116,180,962,717,577,130,577
Flintville,TN,120604,65.7,5428.530000000001,865603.52,442,402,1162,219,781,691,1358,581,867,1056,1093,356,619,525,377,965,639,1001,247,1001
Florence,SC,3828792,75.8,3831.76,3544871.1199999996,504,527,692,732,948,368,88,591,851,546,892,734,596,501,191,966,636,670,562,670
Flushing,MI,1136124,83.69999999999999,4731.14,9834917.44,602,621,984,325,879,1238,69,1000,1207,1365,304,678,117,498,202,967,823,663,670,663
Fond Du Lac,WI,2603084,34.0,5620.27,3213244.5599999996,1107,1171,872,883,240,731,895,645,1252,16,1277,968,317,4,1352,968,420,49,865,49
Forest,MS,646404,98.19999999999999,4863.94,391314.55999999994,1134,1314,84,1164,467,268,173,991,913,218,74,1227,499,203,54,969,882,335,997,335
Forest City,NC,906004,79.1,5294.420000000001,1522484.64,975,1232,738,558,512,62,720,1042,699,985,734,325,755,346,857,971,898,45,556,45
Forest City,PA,200332,52.0,5894.14,1158420.24,973,200,746,397,783,968,1126,555,1280,1057,661,223,778,664,917,972,920,1152,769,1152
Foristell,MO,263956,59.6,5735.6,1450877.9999999998,1223,46,743,1228,728,594,1302,1035,1013,277,775,365,228,1130,35,975,865,779,1190,779
Forrest City,AR,874368,99.3,3283.0400000000004,177606.16,1139,230,1138,177,1024,241,10,703,777,23,989,180,21,1074,641,976,1289,1106,253,1106
Fort Bragg,CA,634260,76.6,4502.35,2240836.64,354,937,1328,237,1191,1143,12,948,840,669,553,177,288,600,502,979,308,784,581,784
Fort Buchanan,PR,12628,100.69999999999999,1892.6899999999998,2278601.28,856,437,1164,255,307,1011,1289,1359,995,599,974,619,356,823,351,986,1256,46,372,46
Fort Collins,CO,7617016,38.3,5284.820000000001,9972131.44,1246,792,1227,762,1144,677,593,1333,532,600,89,546,543,954,1288,989,635,1250,578,1250
Fort Lauderdale,FL,30587568,54.3,3328.52,54173009.599999994,792,250,762,1239,638,1275,842,1206,832,282,931,1009,1136,839,696,990,113,389,780,389
Fort Morgan,CO,693352,43.6,4350.3099999999995,806694.24,1095,131,910,447,395,170,1201,1143,1189,613,732,156,1076,381,38,992,422,1331,572,1331
Fort Pierce,FL,3825492,74.5,4210.75,6828934.08,980,333,673,405,890,14,906,531,1181,971,93,1066,1036,427,134,995,157,1316,20,1316
Fort Scott,KS,525756,76.6,5610.400000000001,397822.16,606,1220,1229,931,639,1237,913,97,1206,293,818,917,431,338,554,997,37,531,1191,531
Fort Valley,GA,824780,62.400000000000006,4775.910000000001,294885.6,97,349,1160,891,887,829,869,1146,1166,1111,457,1084,1203,133,807,1007,463,488,928,488
Fort Wayne,IN,13196128,62.8,4857.18,10354188.799999999,1248,1063,944,323,632,958,986,957,1373,682,465,1150,848,242,466,492,452,547,1302,547
Fortuna,CA,582428,68.8,4819.67,3554110.8,400,483,1253,878,114,433,893,540,442,924,963,569,385,259,1214,1373,945,997,1348,997
Fountain,CO,1197944,43.0,4667.280000000001,17659567.68,1040,169,106,975,493,699,6,687,120,1269,1242,524,45,685,235,281,1079,201,792,201
Frankfort,IN,1027224,56.7,5357.97,912468.5599999999,1114,684,182,354,991,228,321,597,427,731,48,96,555,425,1094,415,899,1358,880,1358
Franklin,IN,1327700,37.3,5614.89,4296800.56,61,739,986,570,1289,1328,681,34,256,1266,1016,711,1295,506,693,114,1108,982,551,982
Franklin,OH,1299716,19.2,5435.9800000000005,6410565.52,304,1111,842,475,1235,56,759,965,392,489,286,128,731,1216,574,216,744,240,1174,240
Franklin,TX,218548,65.6,4174.840000000001,412341.44,1096,1177,273,118,808,1030,341,679,356,1263,544,840,810,503,583,115,991,27,217,27
Franklin,VA,588676,150.3,3631.3450000000003,692540.88,288,875,898,472,232,929,142,122,379,1261,897,1067,220,1104,423,215,1008,134,691,134
Franklin,WV,124212,76.80000000000001,5813.530000000001,172438.47999999998,299,839,203,845,680,127,111,175,286,750,899,1370,1358,1040,1,336,123,1242,420,1242
Frankston,TX,258896,78.8,5125.6,1851118.5599999998,1062,438,464,230,58,945,687,473,54,858,1215,46,442,602,204,213,156,473,454,473
Frederick,MD,5195344,25.400000000000002,4897.099999999999,7728211.36,513,931,328,416,1348,679,22,176,445,852,461,779,120,343,1154,407,1096,584,1246,584
Fredericksburg,VA,6776528,111.6,4235.32,1637604.4,719,651,319,1351,621,30,1362,775,414,1241,1177,455,709,1173,391,416,265,685,662,685
Fremont,CA,9298784,42.9,2732.2,47310750.96,738,928,1202,142,1277,638,329,1284,176,773,309,523,591,184,763,340,1241,40,410,40
Frisco,TX,6849436,29.0,4271.13,23583570.64,1066,873,1021,1328,257,1189,265,5,114,153,785,107,1312,1311,1158,404,61,655,1304,655
Gackle,ND,19844,27.7,5949.140000000001,126112.87999999999,1249,1084,699,34,172,486,808,835,1101,376,998,911,1049,1245,1003,118,780,775,702,775
Gadsden,AL,2892472,83.1,5034.61,2507501.5999999996,828,1290,1092,1267,1332,847,309,297,549,1193,1181,705,675,667,1019,402,369,223,549,223
Gainesville,FL,8541588,71.3,4260.4000000000015,7093176.879999999,564,759,172,1225,714,1193,119,765,357,777,466,869,1364,263,339,119,634,490,695,490
Galax,VA,771804,123.0,4993.93,173044.48,247,191,181,64,254,927,927,409,538,113,284,381,463,1028,1329,120,1198,261,278,261
Galena,MO,213576,65.4,5820.2300000000005,730570.5599999999,887,638,700,734,358,1310,1145,309,601,385,1290,49,1067,1252,1324,122,513,89,919,89
Galloway,OH,1214048,37.4,5524.140000000001,1132144.88,273,1067,622,927,289,1130,1262,840,243,788,1171,402,229,963,969,123,1155,991,367,991
Gallup,NM,1174624,125.9,967.11,1390799.6,1279,1154,561,608,1220,103,505,1246,151,792,268,376,1252,731,1126,398,733,1231,1230,1231
Garden City,TX,42108,59.5,3134.82,108188.64,14,893,375,392,949,492,74,763,614,830,916,1059,2,1351,491,203,350,322,22,322
Gardiner,MT,55220,31.1,5766.93,473357.27999999997,998,548,987,941,123,616,683,278,263,1029,159,410,1100,1165,795,126,1244,718,1097,718
Garland,TX,10776348,77.9,2955.82,72471344.32,584,430,584,1152,1231,734,362,1084,882,396,1260,1298,76,1329,236,111,662,110,1086,110
Gastonia,NC,4440436,68.8,4842.370000000001,5567469.4399999995,148,357,1225,1043,106,245,370,760,63,123,969,1360,524,165,406,109,1268,311,1106,311
Genoa,NE,68772,43.8,5944.59,108592.64,611,1240,890,615,793,1338,703,497,574,819,1366,665,798,389,582,78,1106,64,118,64
Georgetown,SC,1231076,93.0,4295.09,1384003.84,532,126,1044,212,439,1201,1091,424,134,848,274,1344,1301,1346,248,239,997,474,1240,474
Georgiana,AL,182072,111.80000000000001,3904.81,399112.24,771,1054,228,45,965,698,312,764,1248,1276,152,882,734,1304,371,83,756,869,1014,869
Gibbon,MN,69740,46.5,5596.68,478529.19999999995,376,19,1216,872,1129,922,1236,851,1362,240,1045,231,959,766,1134,323,923,932,770,932
