City,Mean,Stdev,Median
Amagansett,117900.0,84082.0,101123.0
Amanda,55012.0,29310.0,54878.0
Amarillo,64852.76,41992.48,92547.04
Amber,62814.0,52172.0,48740.0
Ambler,74566.0,65439.0,56245.0
Ambridge,35321.0,35825.0,21106.0
Amelia,34802.0,33931.0,18904.0
Amenia,85664.0,66479.5,178024.0
American Fork,86985.0,53847.666666666664,142074.0
Americus,40788.4,41935.2,25832.2
Amery,55247.0,36505.0,37228.0
Ames,60589.8,43101.4,55986.0
Amesbury,76628.5,48573.0,69529.0
Amherst,75358.4705882353,53655.82352941176,87182.11764705883
Amite,59469.0,48098.0,48715.0
Amityville,93164.66666666667,51680.333333333336,142273.66666666666
Amory,42272.666666666664,37272.333333333336,117338.33333333333
Amsterdam,63133.0,43693.25,113057.25
Anaconda,50159.333333333336,43152.666666666664,37548.666666666664
Anacortes,71631.0,53522.0,58905.5
Anadarko,59573.0,51990.0,48251.0
Anaheim,72411.0,47667.47619047619,124430.61904761905
Anasco,26944.333333333332,23642.333333333332,19881.666666666668
Anchorage,89349.2,55792.68,156128.44
Andalusia,48976.0,40202.6,87525.0
Anderson,58558.454545454544,40204.40909090909,88967.40909090909
Andersonville,60811.0,49849.0,44104.0
Andover,93523.9,56002.3,183940.4
Andrews,58432.0,43489.5,167061.0
Angier,58414.5,46318.5,44027.5
Angleton,108019.0,61531.0,300000.0
Angola,70365.0,44744.333333333336,139636.33333333334
Angwin,79252.0,49031.0,66968.0
Animas,27920.0,25077.0,26630.0
Ankeny,90891.0,57168.0,83104.66666666667
Ann Arbor,111892.9375,68927.1875,174064.75
Anna,64501.5,46107.25,112547.75
Annandale,99483.28571428571,65082.57142857143,88856.85714285714
Annapolis,96814.85714285714,67503.85714285714,79964.42857142857
Anniston,48101.5,40381.0,36615.75
Annville,71904.0,52031.0,60275.0
Anoka,74343.25,50780.0,118640.0
Ansley,47672.0,52488.0,32870.0
Anson,53912.0,40485.0,43823.0
Ansonia,61516.75,51163.75,107004.0
Antelope,71078.0,47913.666666666664,142482.0
Anthem,119672.66666666667,69765.66666666667,168441.33333333334
Anthon,42507.0,36260.0,36536.0
Anthony,40283.166666666664,32756.166666666668,113144.16666666667
Antigo,44335.5,34618.5,34516.5
Antioch,64894.357142857145,48397.07142857143,68692.07142857143
Anton Chico,33976.0,26629.5,162073.5
Antrim,72228.0,51697.0,65483.0
Anza,67770.0,41258.0,300000.0
Apache,64547.0,54683.0,41128.0
Apache Junction,54092.666666666664,42633.333333333336,122305.66666666667
Apalachicola,54845.0,43108.0,56171.0
Apalachin,78790.0,56240.333333333336,63975.0
Apex,113786.5,67632.0,208028.0
Apison,113344.0,66264.0,104990.0
Apopka,56894.833333333336,49115.666666666664,43891.5
Appalachia,28705.0,29530.0,21512.0
Apple Valley,85965.36363636363,53089.27272727273,155959.63636363635
Appleton,65899.57142857143,45414.42857142857,57247.07142857143
Appomattox,54858.0,42688.333333333336,135889.66666666666
Aptos,72422.4,46499.0,112938.6
Arab,58478.0,38954.0,300000.0
Arabi,47335.0,32697.0,43658.0
Aransas Pass,38667.666666666664,35096.0,29776.0
